Station_ID,Correction_Factor (ft NAVD88),
CRMS0684-H01,-0.71,
CRMS0685-H01,-0.35,
CRMS0687-H01,-0.76,
CRMS0691-H01,-0.72,
CRMS0693-H01,-0.39,
CRMS0694-H01,-0.44,
CRMS0697-H01,-0.4,
CRMS0978-H01,-0.92,
CRMS1024-H01,-0.19,
CRMS1069-H01,-0.59,
CRMS1100-H01,-0.7,
CRMS1130-H01,-0.75,
CRMS1205-H01,-0.82,
CRMS1277-H01,-0.27,
CRMS1409-H01,-1.01,
CRMS1413-W01,-1.02,
CRMS1446-H01,-0.75,
CRMS1650-H01,-1.03,
CRMS1738-H01,0.16,
CRMS1743-H01,-0.45,
CRMS1838-H01,-0.55,
CRMS1858-H01,-0.83,
CRMS1965-H02,-0.96,
CRMS2041-H01,-0.96,
CRMS2154-H01,-0.65,
CRMS2156-H01,-0.87,
CRMS2166-W01,-0.57,
CRMS2189-H02,-0.56,
CRMS2219-H01,-0.81,
CRMS2334-H01,-0.47,
CRMS2418-H01,-0.17,
CRMS2493-H01,-0.79,
CRMS2568-H01,-0.61,
CRMS2608-H01,-1.41,
CRMS2614-H01,-1.42,
CRMS2627-H01,-2.03,
CRMS2634-H01,-1.94,
CRMS2785-H01,-1.06,
CRMS2785-M01,-1.06,
CRMS2825-H01,0.02,
CRMS2830-H01,-0.64,
CRMS2854-H01,-0.57,
CRMS2862-H01,-1.12,
CRMS2862-M01,-1.12,
CRMS2881-H01,-0.97,
CRMS2881-M01,-0.97,
CRMS2887-H01,-1.29,
CRMS2887-M01,-1.29,
CRMS2939-H01,-0.94,
CRMS2939-M01,-0.94,
CRMS2991-W01,-0.91,
CRMS3054-H01,-0.62,
CRMS3136-H01,-0.79,
CRMS3166-H01,-0.71,
CRMS3166-M01,-0.71,
CRMS3169-H01,-0.48,
CRMS3169-M01,-0.48,
CRMS3296-H01,-1.23,
CRMS3565-H01,-0.76,
CRMS3601-H01,-0.86,
CRMS3617-H01,-0.81,
CRMS3626-H01,-0.4,
CRMS3639-H01,-0.69,
CRMS3641-H01,-0.92,
CRMS3650-H01,-0.5,
CRMS3664-H01,-0.8,
CRMS3667-H01,-0.52,
CRMS3680-H01,-1.13,
CRMS3784-H01,-0.2,
CRMS3800-H01,-0.45,
CRMS3913-H01,-0.44,
CRMS3985-H01,-0.56,
CRMS4014-H01,-0.35,
CRMS4016-H01,-0.64,
CRMS4045-H01,-0.98,
CRMS4094-H01,-0.62,
CRMS4103-H01,-0.64,
CRMS4107-H01,-0.53,
CRMS4110-H01,-0.18,
CRMS4218-H01,-0.69,
CRMS4245-H01,-0.64,
CRMS4245-M01,-0.64,
CRMS4355-H01,-0.45,
CRMS4355-M01,-0.45,
CRMS4406-H01,-0.16,
CRMS4407-H01,-0.21,
CRMS4448-H01,-1.78,
CRMS4455-H01,-0.82,
CRMS4529-H01,-0.86,
CRMS4548-H01,-0.4,
CRMS4548-H02,-0.4,
CRMS4551-H01,-0.61,
CRMS4557-H01,-0.55,
CRMS4572-H01,-0.08,
CRMS4596-H01,-0.25,
CRMS4626-H01,-1.69,
CRMS4690-H01,-0.66,
CRMS4779-H01,-1.11,
CRMS4782-H01,-0.72,
CRMS4808-H01,-0.78,
CRMS4809-H01,-0.56,
CRMS4900-H01,-0.98,
CRMS4938-H01,0.42,
CRMS5003-H01,-0.55,
CRMS5035-H01,-0.97,
CRMS5116-W01,-0.62,
CRMS5167-H01,-0.18,
CRMS5255-H01,-0.43,
CRMS5267-H01,-0.16,
CRMS5373-H01,-0.49,
CRMS5414-H01,-0.49,
CRMS5452-H01,-0.23,
CRMS5536-H01,0.03,
CRMS5672-W01,-0.92,
CRMS5770-W01,-0.98,
CRMS5845-H01,-0.32,
CRMS5992-H01,-1.07,
CRMS6008-H01,-0.88,
CRMS6038-H01,-0.71,
CRMS6042-H01,-0.91,
CRMS6088-H01,-0.19,
CRMS6090-H01,-0.24,
CRMS6209-H01,-0.43,
CRMS6299-H01,-0.7,
CRMS6301-H01,-1.05,
CRMS6302-H01,-0.71,
CRMS6303-H01,-0.91,
CRMS6304-H01,-1.12,
